miR_ID,circbase_ID,Tot Score
hsa-miR-6087,hsa_circ_0002172,11645
hsa-miR-6087,hsa_circ_0089776,11645
hsa-miR-7-5p,hsa_circ_0001946,10113
hsa-miR-328-5p,hsa_circ_0002172,8487
hsa-miR-328-5p,hsa_circ_0089776,8487
hsa-miR-3689b-3p,hsa_circ_0041089,8365
hsa-miR-3689b-3p,hsa_circ_0041099,8365
hsa-miR-3689b-3p,hsa_circ_0041116,8365
hsa-miR-3689c,hsa_circ_0041089,8365
hsa-miR-3689c,hsa_circ_0041099,8365
hsa-miR-3689c,hsa_circ_0041116,8365
hsa-miR-30b-3p,hsa_circ_0041089,7975
hsa-miR-30b-3p,hsa_circ_0041099,7975
hsa-miR-30b-3p,hsa_circ_0041116,7975
hsa-miR-3689a-3p,hsa_circ_0041089,7949
hsa-miR-3689a-3p,hsa_circ_0041099,7949
hsa-miR-3689a-3p,hsa_circ_0041116,7949
hsa-miR-8485,hsa_circ_0089792,7855
hsa-miR-6851-5p,hsa_circ_0041089,7683
hsa-miR-6851-5p,hsa_circ_0041099,7683
hsa-miR-6851-5p,hsa_circ_0041116,7683
hsa-miR-4778-3p,hsa_circ_0013871,7428
hsa-miR-4778-3p,hsa_circ_0013870,7120
hsa-miR-4300,hsa_circ_0041089,7089
hsa-miR-4300,hsa_circ_0041099,7089
hsa-miR-4300,hsa_circ_0041116,7089
hsa-miR-3192-5p,hsa_circ_0041089,6971
hsa-miR-3192-5p,hsa_circ_0041099,6971
hsa-miR-3192-5p,hsa_circ_0041116,6971
hsa-miR-6780a-5p,hsa_circ_0041089,6811
hsa-miR-6780a-5p,hsa_circ_0041099,6811
hsa-miR-6780a-5p,hsa_circ_0041116,6811
hsa-miR-6756-5p,hsa_circ_0041089,6801
hsa-miR-6756-5p,hsa_circ_0041099,6801
hsa-miR-6756-5p,hsa_circ_0041116,6801
hsa-miR-6726-5p,hsa_circ_0041089,6776
hsa-miR-6726-5p,hsa_circ_0041099,6776
hsa-miR-6726-5p,hsa_circ_0041116,6776
hsa-miR-4728-5p,hsa_circ_0037995,6747
hsa-miR-4728-5p,hsa_circ_0037996,6747
hsa-miR-328-5p,hsa_circ_0052415,6662
hsa-miR-650,hsa_circ_0052415,6662
hsa-miR-4728-5p,hsa_circ_0037997,6595
hsa-miR-1277-5p,hsa_circ_0057112,6415
hsa-miR-1249-5p,hsa_circ_0002172,6310
hsa-miR-103a-3p,hsa_circ_0052415,6278
hsa-miR-107,hsa_circ_0052415,6278
hsa-miR-7110-5p,hsa_circ_0002172,6231
hsa-miR-7110-5p,hsa_circ_0089776,6231
hsa-miR-1249-5p,hsa_circ_0089776,6160
hsa-miR-920,hsa_circ_0041089,6156
hsa-miR-920,hsa_circ_0041099,6156
hsa-miR-920,hsa_circ_0041116,6156
hsa-miR-6752-5p,hsa_circ_0002172,6059
hsa-miR-6752-5p,hsa_circ_0089776,6059
hsa-miR-646,hsa_circ_0013871,5876
hsa-miR-4739,hsa_circ_0041089,5822
hsa-miR-4739,hsa_circ_0041099,5822
hsa-miR-4739,hsa_circ_0041116,5822
hsa-miR-6812-5p,hsa_circ_0002172,5822
hsa-miR-6812-5p,hsa_circ_0089776,5822
hsa-miR-646,hsa_circ_0013870,5708
hsa-miR-6799-5p,hsa_circ_0041089,5638
hsa-miR-6799-5p,hsa_circ_0041099,5638
hsa-miR-6799-5p,hsa_circ_0041116,5638
hsa-miR-6756-3p,hsa_circ_0013871,5596
hsa-miR-4446-3p,hsa_circ_0013871,5553
hsa-miR-4498,hsa_circ_0013871,5527
hsa-miR-4672,hsa_circ_0005461,5508
hsa-miR-6790-3p,hsa_circ_0002172,5508
hsa-miR-6790-3p,hsa_circ_0089776,5508
hsa-miR-6862-5p,hsa_circ_0013871,5495
hsa-miR-4640-5p,hsa_circ_0052415,5485
hsa-miR-8485,hsa_circ_0041122,5476
hsa-miR-5088-3p,hsa_circ_0013871,5452
hsa-miR-4778-3p,hsa_circ_0013876,5411
hsa-miR-4446-3p,hsa_circ_0013870,5402
hsa-miR-6881-3p,hsa_circ_0013871,5382
hsa-miR-4498,hsa_circ_0013870,5373
hsa-miR-765,hsa_circ_0002172,5372
hsa-miR-765,hsa_circ_0089776,5372
hsa-miR-6778-5p,hsa_circ_0041089,5363
hsa-miR-6778-5p,hsa_circ_0041099,5363
hsa-miR-6778-5p,hsa_circ_0041116,5363
hsa-miR-6862-5p,hsa_circ_0013870,5338
hsa-miR-1199-5p,hsa_circ_0013871,5335
hsa-miR-6779-5p,hsa_circ_0041089,5320
hsa-miR-6779-5p,hsa_circ_0041099,5320
hsa-miR-6779-5p,hsa_circ_0041116,5320
hsa-miR-1185-2-3p,hsa_circ_0005461,5308
hsa-miR-4726-5p,hsa_circ_0052415,5296
hsa-miR-370-3p,hsa_circ_0013871,5286
hsa-miR-7113-3p,hsa_circ_0013871,5250
hsa-miR-6881-3p,hsa_circ_0013870,5231
hsa-miR-93-3p,hsa_circ_0013871,5210
hsa-miR-1199-5p,hsa_circ_0013870,5178
hsa-miR-431-5p,hsa_circ_0013871,5150
hsa-miR-6756-3p,hsa_circ_0013870,5137
hsa-miR-370-3p,hsa_circ_0013870,5131
hsa-miR-7113-3p,hsa_circ_0013870,5100
hsa-miR-3689d,hsa_circ_0041089,5074
hsa-miR-3689d,hsa_circ_0041099,5074
hsa-miR-3689d,hsa_circ_0041116,5074
hsa-miR-93-3p,hsa_circ_0013870,5057
hsa-miR-431-5p,hsa_circ_0013870,4999
hsa-miR-5088-3p,hsa_circ_0013870,4994
hsa-miR-1273h-5p,hsa_circ_0041089,4984
hsa-miR-1273h-5p,hsa_circ_0041099,4984
hsa-miR-1273h-5p,hsa_circ_0041116,4984
hsa-miR-6865-3p,hsa_circ_0020316,4909
hsa-miR-4781-5p,hsa_circ_0005461,4820
hsa-miR-297,hsa_circ_0089771,4790
hsa-miR-6745,hsa_circ_0038404,4628
hsa-miR-6825-5p,hsa_circ_0052415,4598
hsa-miR-4739,hsa_circ_0037995,4548
hsa-miR-4739,hsa_circ_0037996,4548
hsa-miR-4739,hsa_circ_0037997,4548
hsa-miR-149-3p,hsa_circ_0037995,4526
hsa-miR-149-3p,hsa_circ_0037996,4526
hsa-miR-149-3p,hsa_circ_0037997,4526
